OrderID,CustomerID,CustomerName,Email,Product,Category,Quantity,UnitPrice,Region,Status,OrderDate
ORD0001,CUST063,Eve Wilson,grace@email.com,Headphones,Electronics,1,149.99,West,Completed,2024-05-07
ORD0002,CUST018,Isla Fisher,jack@email.com,Monitor,Electronics,2,299.99,East,Completed,2024-10-14
ORD0003,CUST047,Frank Castle,grace@email.com,Keyboard,Accessories,2,49.99,East,Completed,2024-09-29
ORD0004,CUST033,Isla Fisher,frank@email.com,Headphones,Electronics,5,149.99,South,Completed,2024-12-20
ORD0005,CUST050,Isla Fisher,henry@email.com,Tablet,Electronics,5,449.99,West,Completed,2024-11-08
ORD0006,CUST036,Diana Prince,alice@email.com,Webcam,Accessories,4,79.99,East,Pending,2024-12-19
ORD0007,CUST066,Grace Hopper,frank@email.com,Keyboard,Accessories,3,49.99,North,Completed,2024-03-03
ORD0008,CUST062,Frank Castle,jack@email.com,Keyboard,Accessories,2,49.99,South,Completed,2024-06-28
ORD0009,CUST042,Frank Castle,frank@email.com,Headphones,Electronics,3,149.99,West,Cancelled,2024-09-20
ORD0010,CUST053,Eve Wilson,grace@email.com,Phone,Accessories,4,599.99,South,Cancelled,2024-12-15
ORD0011,CUST047,Charlie Brown,grace@email.com,Tablet,Electronics,4,449.99,West,Cancelled,2024-05-03
ORD0012,CUST030,Charlie Brown,alice@email.com,Headphones,Electronics,3,149.99,West,Completed,2024-12-11
ORD0013,CUST090,Eve Wilson,grace@email.com,Tablet,Electronics,1,449.99,West,Cancelled,2024-05-08
ORD0014,CUST058,Jack Ryan,alice@email.com,Tablet,Electronics,2,449.99,,Completed,2024-08-24
ORD0015,CUST001,Grace Hopper,eve@email.com,Webcam,Accessories,5,79.99,East,Completed,2024-03-16
ORD0016,CUST026,Charlie Brown,eve@email.com,Keyboard,Accessories,1,49.99,North,Pending,2024-03-09
ORD0017,CUST047,Alice Smith,diana@email.com,Monitor,Electronics,5,299.99,West,Completed,2024-12-06
ORD0018,CUST039,Diana Prince,alice@email.com,Webcam,Accessories,5,79.99,East,Completed,2024-01-10
ORD0019,CUST069,Diana Prince,bob@email.com,Webcam,Accessories,4,79.99,East,Completed,2024-09-06
ORD0020,CUST019,Jack Ryan,alice@email.com,Tablet,Electronics,5,449.99,North,Pending,2024-01-16
